,Stock Name,Price 6/27/2016,Price 6/28/2016,%Change
0,"""PIH""",6.53,6.4628,-1.029096478
1,"""FLWS""",8.19,8.41,2.686202686
2,"""SRCE""",30.74,31.05,1.008458035
3,"""VNET""",9.83,10.5,6.815869786
4,"""TWOU""",27.61,28.53,3.332126041
5,"""JOBS""",28.46,29.12,2.319044273
6,"""EGHT""",13.36,13.66,2.245508982
7,"""AAON""",26.19,25.93,-0.992745323
8,"""ABEO""",2.44,2.43,-0.409836066
9,"""ABIL""",3.86,4.03,4.404145078
10,"""ABMD""",101.23,105.09,3.813098884
11,"""AXAS""",1.05,1.09,3.80952381
12,"""ACIA""",34.45,38.19,10.8563135
13,"""ACTG""",4.21,4.13,-1.90023753
14,"""ACHC""",51.03,53.32,4.487556339
15,"""ACAD""",30.3,31.66,4.488448845
16,"""ACST""",1.37,1.399,2.116788321
17,"""AXDX""",14.43,14.22,-1.455301455
18,"""XLRN""",31.84,33.89,6.438442211
19,"""ARAY""",4.93,5.04,2.231237323
20,"""ACRX""",2.48,2.5,0.806451613
21,"""ACER""",3.91,3.92,0.255754476
22,"""ACHV""",0.95,0.997,4.947368421
23,"""ACHN""",7.48,7.78,4.010695187
24,"""ACIW""",18.54,18.72,0.970873786
25,"""ACRS""",17.68,18.07,2.205882353
26,"""ACNB""",23.74,24.96,5.139005897
27,"""ACOR""",24.48,25.31,3.390522876
28,"""ATVI""",36.15,37.18,2.849239281
29,"""ADMS""",14.72,15.52,5.434782609
30,"""ADMP""",2.62,2.69,2.671755725
31,"""ADAP""",8.02,8.12,1.246882793
32,"""ADUS""",17.6,17.63,0.170454545
33,"""AEY""",1.78,1.79,0.561797753
34,"""IOTS""",3.02,3.17,4.966887417
35,"""ADMA""",6.48,6.31,-2.62345679
36,"""ADBE""",90.85,92.46,1.772151899
37,"""ADTN""",17.14,17.62,2.800466744
38,"""ADRO""",9.88,10.62,7.489878543
39,"""ADES""",7,7.18,2.571428571
40,"""AEIS""",35.58,35.79,0.590219224
41,"""AMD""",4.72,5.12,8.474576271
42,"""ADXS""",7.3,8.42,15.34246575
43,"""ADVM""",3.02,3.27,8.278145695
44,"""AEGN""",17.51,18.56,5.996573387
45,"""AGLE""",5.45,5.45,0
46,"""AEHR""",1.62,1.65,1.851851852
47,"""AMTX""",2.34,2.45,4.700854701
48,"""AERI""",16.7,17.77,6.407185629
49,"""AVAV""",28.41,28.5,0.316789863
50,"""AEZS""",3.01,3.2,6.312292359
51,"""AEMD""",5.88,5.6,-4.761904762
52,"""GNMX""",5.1,5.27,3.333333333
53,"""AFMD""",2.54,2.52,-0.787401575
54,"""AGEN""",3.63,3.88,6.887052342
55,"""AGRX""",7.04,7.41,5.255681818
56,"""AGYS""",10.19,10.25,0.588812561
57,"""AGIO""",40.27,43.885,8.976905885
58,"""AGNC""",19.33,19.51,0.931195034
59,"""AGNCB""",25.52,25.75,0.901253918
60,"""AGFS""",4.64,5.06,9.051724138
61,"""AIMT""",11.01,10.88,-1.180744777
62,"""AIRT""",22.88,23.65,3.365384615
63,"""ATSG""",12.49,12.46,-0.240192154
64,"""ANTE""",19.55,19.85,1.534526854
65,"""AKAM""",51.16,53.05,3.694292416
66,"""AKTX""",14.55,14.539,-0.075601375
67,"""SONG""",0.09,0.913,914.4444444
68,"""AKBA""",7.24,7.67,5.939226519
69,"""AKER""",2.54,2.83,11.41732283
70,"""AKRX""",26.37,28.02,6.257110353
71,"""AKTS""",3.916,3.95,0.868232891
72,"""ALRM""",23.86,24.52,2.766135792
73,"""ALSK""",1.66,1.67,0.602409639
74,"""ALACR""",1.03,0.24,-76.69902913
75,"""ALBO""",0.287,0.32,11.49825784
76,"""ABDC""",12.16,12.1,-0.493421053
77,"""ALDX""",5.24,5.39,2.86259542
78,"""ALRS""",17.55,17.55,0
79,"""ALXN""",111.89,114.94,2.725891501
80,"""ALCO""",27.9,27.94,0.143369176
81,"""ALGN""",77.21,78.62,1.826188318
82,"""ALIM""",1.3,1.31,0.769230769
83,"""ALYA""",8.32,8.31,-0.120192308
84,"""ALJJ""",4.86,4.87,0.205761317
85,"""ALKS""",40.01,42.6,6.473381655
86,"""ABTX""",22.12,23.48,6.148282098
87,"""ALGT""",138.55,141.45,2.093107182
88,"""ARLP""",14.15,15,6.007067138
89,"""LNT""",39.85,39.81,-0.100376412
