,Stock Name,Price 06/14/2018,Price 06/15/2018
0,"""PIH""",7.8,7.6
1,"""FLWS""",12.8,12.85
2,"""SRCE""",55.23,55.31
3,"""VNET""",8.84,8.64
4,"""TWOU""",96.58,96.31
5,"""JOBS""",105.79,107.1
6,"""EGHT""",19.75,20.05
7,"""AAON""",33.15,33.3
8,"""ABEO""",15.9,16.55
9,"""ABIL""",2.37,2.36
10,"""ABMD""",440.65,443.58
11,"""AXAS""",2.48,2.45
12,"""ACIA""",35.32,34.98
13,"""ACTG""",4.35,4.4
14,"""ACHC""",41.16,41.81
15,"""ACAD""",15.35,15.73
16,"""ACST""",0.8029999999999999,0.71
17,"""AXDX""",23.0,23.15
18,"""XLRN""",36.12,36.02
19,"""ARAY""",4.7,4.35
20,"""ACRX""",4.125,4.2
21,"""ACER""",19.476,18.7
22,"""ACHV""",5.2,3.65
23,"""ACHN""",2.99,2.97
24,"""ACIW""",25.79,26.14
25,"""ACRS""",19.78,19.93
26,"""ACNB""",31.15,31.65
27,"""ACOR""",31.5,31.15
28,"""ATVI""",77.71,77.41
29,"""ADMS""",27.47,26.12
30,"""ADMP""",4.15,3.95
31,"""ADAP""",12.25,12.51
32,"""ADUS""",56.65,56.35
33,"""AEY""",1.29,1.3
34,"""IOTS""",9.45,9.55
35,"""ADMA""",4.88,5.04
36,"""ADBE""",258.1,251.82
37,"""ADTN""",15.15,15.45
38,"""ADRO""",7.7,7.9
39,"""ADES""",11.06,11.27
40,"""AEIS""",61.93,60.26
41,"""AMD""",16.25,16.34
42,"""ADXS""",1.69,1.71
43,"""ADVM""",5.55,5.55
44,"""AEGN""",25.41,25.91
45,"""AGLE""",10.4,10.59
46,"""AEHR""",2.82,2.83
47,"""AMTX""",1.48,1.43
48,"""AERI""",64.2,64.15
49,"""AVAV""",59.25,59.33
50,"""AEZS""",2.12,2.14
51,"""AEMD""",1.32,1.31
52,"""GNMX""",1.27,1.24
53,"""AFMD""",2.45,2.075
54,"""AGEN""",2.8,2.7
55,"""AGRX""",0.584,0.5720000000000001
56,"""AGYS""",15.3,15.3
57,"""AGIO""",93.74,93.22
58,"""AGNC""",19.0,18.9
59,"""AGNCB""",26.093000000000004,26.24
60,"""AGFS""",7.51,7.51
61,"""AIMT""",29.78,30.49
62,"""AIRT""",33.7,34.255
63,"""ATSG""",24.02,24.24
64,"""ANTE""",3.65,3.55
65,"""AKAM""",80.86,81.97
66,"""AKTX""",1.89,2.06
67,"""SONG""",0.2,5.27
68,"""AKBA""",11.14,10.92
69,"""AKER""",0.386,0.41
70,"""AKRX""",15.04,15.42
71,"""AKTS""",6.55,6.44
72,"""ALRM""",45.49,45.52
73,"""ALSK""",1.66,1.64
74,"""ALACR""",1.03,0.24
75,"""ALBO""",32.37,32.53
76,"""ABDC""",6.85,6.76
77,"""ALDX""",8.65,8.85
78,"""ALRS""",26.1,26.15
79,"""ALXN""",120.16,121.52
80,"""ALCO""",30.45,30.3
81,"""ALGN""",366.27,362.66
82,"""ALIM""",0.84,0.857
83,"""ALYA""",5.41,5.54
84,"""ALJJ""",1.6,1.6
85,"""ALKS""",50.14,50.3
86,"""ABTX""",43.1,43.75
87,"""ALGT""",149.55,149.45
88,"""ARLP""",20.0,19.95
89,"""LNT""",39.62,39.96
90,"""AHPI""",2.63,2.59
91,"""AMOT""",47.3,47.4
92,"""ALLT""",5.3,5.35
93,"""MDRX""",12.43,12.59
94,"""ALNY""",107.06,107.8
95,"""AOSL""",16.05,16.09
96,"""GOOG""",1152.12,1152.26
97,"""GOOGL""",1160.11,1159.27
98,"""SMCP""",26.883000000000003,26.846999999999998
99,"""ATEC""",3.55,3.42
100,"""ALPN""",9.0,8.6
101,"""ATHE""",2.0,1.94
102,"""ALT""",0.529,0.518
103,"""ASPS""",30.43,30.56
104,"""AIMC""",44.65,44.35
105,"""AMAG""",24.75,23.8
106,"""AMRN""",3.25,3.23
107,"""AMRK""",13.93,13.88
108,"""AMZN""",1723.86,1715.97
109,"""AMBC""",20.42,20.17
110,"""AMBA""",42.66,43.63
111,"""AMCX""",67.54,67.82
112,"""AMCI""",0.23399999999999999,0.23399999999999999
113,"""DOX""",69.91,69.89
114,"""AMED""",83.99,83.75
115,"""UHAL""",352.09,361.21
116,"""AMRH""",1.13,1.17
117,"""ATAX""",6.4,6.375
118,"""AMOV""",15.8,16.05
119,"""AAL""",43.08,42.77
120,"""AMNB""",41.2,41.45
121,"""ANAT""",119.62,120.83
122,"""AOBC""",12.6,12.74
123,"""APEI""",43.8,43.45
124,"""AMRB""",15.98,16.0
125,"""AMSWA""",13.65,13.68
126,"""AMSC""",6.63,6.9
127,"""AMWD""",96.5,99.45
128,"""CRMT""",63.6,64.9
129,"""ABCB""",56.5,56.35
130,"""AMSF""",60.65,61.25
131,"""ASRV""",4.3,4.225
132,"""ASRVP""",29.0,29.0
133,"""ATLO""",30.7,30.85
134,"""AMGN""",185.79,185.01
135,"""FOLD""",16.41,16.36
136,"""AMKR""",8.95,9.17
137,"""AMPH""",16.96,16.88
138,"""IBUY""",52.87,52.85
139,"""ASYS""",7.41,7.14
140,"""AMRS""",5.42,5.43
141,"""ADI""",101.7,101.5
142,"""AVXL""",4.08,4.18
143,"""ANGI""",15.86,16.07
144,"""ANGO""",21.77,21.62
145,"""ANIP""",66.34,67.39
146,"""ANIK""",44.77,45.05
147,"""ANIX""",3.48,3.33
148,"""ANSS""",176.92,177.78
149,"""ATRS""",2.91,2.89
150,"""ATEX""",27.65,28.95
151,"""APEX""",0.86,0.78
152,"""APOG""",44.54,44.28
153,"""APEN""",6.41,6.15
154,"""AINV""",5.74,5.72
155,"""AMEH""",16.21,25.86
156,"""APPF""",65.35,65.25
157,"""AAPL""",190.8,188.84
158,"""APDN""",1.31,1.3
159,"""APDNW""",0.26,0.25
160,"""AGTC""",4.35,4.3
161,"""AMAT""",49.69,49.31
162,"""AAOI""",43.74,43.38
163,"""APM""",2.487,14.35
164,"""APTO""",3.89,4.16
165,"""AQMS""",3.3,3.35
166,"""ARAV""",2.3,2.45
167,"""ABUS""",6.0,6.35
168,"""ABIO""",0.511,0.557
169,"""RKDA""",8.2,8.31
170,"""ARCB""",47.6,48.1
171,"""ACGL""",81.13,80.51
172,"""ARCT""",8.595,9.25
173,"""ARDX""",4.05,4.0
174,"""ARNA""",49.63,49.47
175,"""ARCC""",16.74,16.74
176,"""ARKR""",26.4,26.51
177,"""ARTX""",4.0,4.0
178,"""ARQL""",5.31,4.99
179,"""DWAT""",12.035,12.035
180,"""AROW""",36.15,36.3
181,"""ARWR""",11.65,11.07
182,"""ARTNA""",37.37,36.04
183,"""ARTW""",2.8,2.8
184,"""ASNA""",4.06,3.99
185,"""ASND""",67.07,66.53
186,"""APWC""",2.5,2.55
187,"""ASML""",215.89,214.82
188,"""ASPU""",7.06,6.98
189,"""AZPN""",99.79,97.72
190,"""ASMB""",46.13,46.96
191,"""ASRT""",6.97,7.12
192,"""ASFI""",4.0,3.35
193,"""ASTE""",60.12,60.48
194,"""ATRO""",38.36,39.03
195,"""ALOT""",19.8,18.95
196,"""ASTC""",1.95,1.89
197,"""ASUR""",17.71,17.95
198,"""ATRA""",45.65,45.05
199,"""ATHX""",2.33,2.32
200,"""AAME""",2.7,2.5
201,"""ACBI""",20.9,20.9
202,"""AUB""",40.48,40.21
203,"""AY""",20.38,20.23
204,"""ATLC""",2.0,1.94
205,"""AAWW""",72.85,72.85
206,"""AFH""",11.15,10.95
207,"""TEAM""",66.49,66.12
208,"""ATNI""",53.02,54.43
209,"""ATOS""",2.51,2.48
210,"""ATRC""",25.05,26.99
211,"""ATRI""",585.9,581.0
212,"""ATIS""",0.46,0.43
213,"""LIFE""",0.9620000000000001,1.01
214,"""AUBN""",50.4,50.82
215,"""AUDC""",7.33,7.26
216,"""AEYE""",4.75,5.5
217,"""AUPH""",5.65,5.9
218,"""EARS""",1.15,1.15
219,"""JG""",0.29,8.8
220,"""ADSK""",138.41,137.99
221,"""ADP""",139.82,139.57
222,"""AUTO""",4.49,4.49
223,"""AVDL""",7.75,7.64
224,"""AVEO""",2.2,2.21
225,"""AVNW""",17.02,16.7
226,"""CDMO""",3.67,3.62
227,"""CDMOP""",26.08,25.21
228,"""AVID""",4.83,4.95
229,"""AVGR""",1.68,1.67
230,"""CAR""",41.93,41.27
231,"""RCEL""",0.94,0.93
232,"""AVT""",40.18,42.72
233,"""AWRE""",3.95,3.95
234,"""ACLS""",20.5,20.4
235,"""AXGN""",50.15,49.5
236,"""AAXN""",63.67,64.4
237,"""AXGT""",29.92,30.32
238,"""AXSM""",3.4,3.225
239,"""AXTI""",7.7,7.5
240,"""AYTU""",0.358,0.359
241,"""BCOM""",9.97,9.912
242,"""RILY""",20.8,20.75
243,"""BOSC""",2.28,2.24
244,"""BIDU""",270.64,272.97
245,"""BCPC""",99.46,100.4
246,"""BLDP""",3.02,2.97
247,"""BANF""",61.7,61.7
248,"""BANFP""",27.635,27.64
249,"""BCTF""",16.36,16.37
250,"""BFC""",52.95,52.95
251,"""BOCH""",11.9,11.85
252,"""BMRC""",78.65,78.45
253,"""BKSC""",20.45,20.35
254,"""BOTJ""",15.380999999999998,15.69
255,"""OZK""",48.72,47.75
256,"""BFIN""",18.07,18.03
257,"""BWFG""",31.51,31.31
258,"""BANR""",60.17,60.26
259,"""BZUN""",64.38,62.83
260,"""DFVL""",62.64,62.64
261,"""DFVS""",36.65,36.65
262,"""DLBS""",20.51,19.62
263,"""DTUL""",56.75,56.75
264,"""DTUS""",39.6,38.8
265,"""DTYL""",72.41,72.41
266,"""DTYS""",23.13,23.035
267,"""FLAT""",63.0,63.0
